locus_tag,gene_name,direction,signature_type,tolonen_peak_timepoint,tolonen_best_dir_rank,tolonen_best_global_rank,read_peak_timepoint,read_best_dir_rank,read_best_global_rank,cross_study_best_dir_rank,product,gene_category
PMM0030,,up,core,48h,1.0,1,12h,2.0,4,1.0,conserved hypothetical protein,Unknown
PMM0337,,up,core,12h,8.0,14,12h,1.0,1,1.0,conserved hypothetical protein,Unknown
PMM0346,,down,core,6h,113.0,250,24h,1.0,2,1.0,conserved hypothetical protein,Unknown
PMM0370,cynA,up,core,24h,1.0,2,12h,14.0,27,1.0,"cyanate ABC transporter, substrate-binding protein",Central intermediary metabolism
PMM0550,rbcL,down,core,6h,1.0,8,12h,121.0,294,1.0,"ribulose bisphosphate carboxylase, large subunit",Photosynthesis
PMM1453,atpF,down,core,12h,1.0,1,24h,2.0,3,1.0,ATP synthase subunit B,Photosynthesis
PMM1452,atpD,down,core,24h,1.0,1,12h,1.0,2,1.0,ATP synthase delta chain,Photosynthesis
PMM0690,hli,up,core,48h,2.0,4,24h,4.0,10,2.0,high light inducible protein,Stress response and adaptation
PMM1454,atpG,down,core,12h,2.0,4,24h,3.0,6,2.0,ATP synthase B^,Photosynthesis
PMM1404,hli,up,core,48h,3.0,5,24h,2.0,4,2.0,high light inducible protein,Stress response and adaptation
PMM0920,glnA,up,core,24h,2.0,4,12h,42.0,78,2.0,"glutamine synthetase, type I",Amino acid metabolism
PMM0970,urtA,up,core,24h,3.0,4,12h,12.0,24,3.0,"ABC-type urea transporter, substrate binding component",Stress response and adaptation
PMM0699,,down,core,24h,118.0,280,12h,4.0,7,4.0,uncharacterized conserved membrane protein,Stress response and adaptation
PMM1557,rplD,down,core,6h,4.0,11,12h,90.0,194,4.0,50S ribosomal protein L4,Translation
PMM1390,hli,up,core,48h,9.0,22,12h,4.0,8,4.0,high light inducible protein,Stress response and adaptation
PMM1455,atpH,down,core,24h,4.0,15,24h,7.0,11,4.0,ATP synthase C chain,Photosynthesis
PMM0818,hli,up,core,48h,14.0,65,24h,5.0,12,5.0,high light inducible protein,Stress response and adaptation
PMM0453,fabG,down,core,24h,49.0,103,24h,5.0,8,5.0,beta-ketoacyl-(acyl-carrier-protein) reductase (KR),Lipid metabolism
PMM0689,hli,up,core,48h,5.0,10,12h,10.0,19,5.0,high light inducible protein,Stress response and adaptation
PMM1706,rpsF,down,core,24h,24.0,64,12h,6.0,10,6.0,30S ribosomal protein S6,Translation
PMM0365,,up,core,12h,16.0,42,24h,6.0,15,6.0,possible DsrE-like protein,Unknown
PMM0246,ntcA,up,core,6h,6.0,7,24h,81.0,172,6.0,global nitrogen regulatory protein,Stress response and adaptation
PMM0336,PTOX,up,core,12h,6.0,11,12h,71.0,135,6.0,plastoquinol terminal oxidase,Stress response and adaptation
PMM1451,atpA,down,core,6h,7.0,20,12h,34.0,68,7.0,ATP synthase alpha chain,Photosynthesis
PMM0901,htpG,down,core,24h,7.0,20,12h,74.0,159,7.0,molecular chaperone HtpG,Stress response and adaptation
PMM0687,,up,core,6h,7.0,8,24h,32.0,70,7.0,conserved hypothetical protein,Unknown
PMM0374,tatA,up,core,6h,8.0,9,24h,77.0,163,8.0,"twin arginine-targeting translocase, TatA/E family protein",Post-translational modification
PMM0583,hemE,down,core,48h,22.0,52,24h,8.0,13,8.0,uroporphyrinogen decarboxylase,Coenzyme metabolism
PMM1558,rplC,down,core,6h,8.0,21,12h,9.0,18,8.0,50S ribosomal protein L3,Translation
PMM0447,ctaA,up,core,6h,23.0,64,12h,8.0,16,8.0,cytochrome oxidase biogenesis protein,Coenzyme metabolism
PMM0452,groL2,down,core,24h,9.0,31,12h,73.0,149,9.0,chaperonin GroEL,Stress response and adaptation
PMM0334,,up,core,24h,30.0,178,12h,9.0,17,9.0,conserved hypothetical protein (DUF3104),Unknown
PMM0549,csoS1A,down,core,48h,9.0,32,12h,38.0,81,9.0,carboxysome shell protein CsoS1A,Photosynthesis
PMM1541,rplO,down,core,6h,9.0,29,24h,34.0,63,9.0,50S ribosomal protein L15,Translation
PMM0272,psbK,down,core,48h,30.0,89,24h,9.0,14,9.0,photosystem II reaction center protein PsbK,Photosynthesis
PMM0819,,up,core,24h,9.0,18,24h,11.0,27,9.0,conserved hypothetical protein,Unknown
PMM1538,rpmJ,down,core,12h,40.0,67,24h,10.0,15,10.0,50S ribosomal protein L36,Translation
PMM1520,psaI,down,core,48h,10.0,34,24h,59.0,110,10.0,photosystem I reaction center subunit VIII,Stress response and adaptation
PMM1537,rpsM,down,core,12h,26.0,44,24h,11.0,16,11.0,30S ribosomal protein S13,Translation
