rank_score,empirical_p,n_permutations,n_signature_genes,n_matched,n_absent,n_concordant,n_reversed,n_not_significant,hit_rate,tier,label,role,timepoint,timepoint_hours,total_genes_in_experiment
0.7003148036118393,0.0,1000,38,38,0,35,0,3,0.9210526315789473,top,Tolonen N-dep,reference,12h,12.0,1697
0.4294854728230633,0.0,1000,189,189,0,150,0,39,0.7936507936507936,core,Tolonen N-dep,reference,12h,12.0,1697
0.29172837045403655,0.0,1000,531,519,12,304,0,215,0.5857418111753372,extended,Tolonen N-dep,reference,12h,12.0,1697
0.7449720044792834,0.0,1000,38,38,0,36,0,2,0.9473684210526315,top,Tolonen N-dep,reference,24h,24.0,1697
0.3970055161544523,0.0,1000,189,189,0,139,0,50,0.7354497354497355,core,Tolonen N-dep,reference,24h,24.0,1697
0.2058240752128343,0.0,1000,531,519,12,215,0,304,0.4142581888246628,extended,Tolonen N-dep,reference,24h,24.0,1697
0.4847274436090226,0.0,1000,38,38,0,26,0,12,0.6842105263157895,top,Tolonen N-dep,reference,48h,48.0,1697
0.17827223481985385,0.0,1000,189,189,0,67,0,122,0.3544973544973545,core,Tolonen N-dep,reference,48h,48.0,1697
0.08477842003853565,0.0,1000,531,519,12,90,0,429,0.17341040462427745,extended,Tolonen N-dep,reference,48h,48.0,1697
0.603837458961455,0.0,1000,38,38,0,30,0,8,0.7894736842105263,top,Tolonen N-dep,reference,6h,6.0,1697
0.32732665857351084,0.0,1000,189,189,0,111,0,78,0.5873015873015873,core,Tolonen N-dep,reference,6h,6.0,1697
0.22239675412253637,0.0,1000,531,519,12,233,0,286,0.4489402697495183,extended,Tolonen N-dep,reference,6h,6.0,1697
0.6878756766397215,0.0,1000,38,37,1,34,0,3,0.918918918918919,top,Read N-dep,reference,12h,12.0,840
0.4175403332706703,0.0,1000,189,185,4,148,0,37,0.8,core,Read N-dep,reference,12h,12.0,840
0.23397783428110563,0.0,1000,531,452,79,213,0,239,0.47123893805309736,extended,Read N-dep,reference,12h,12.0,840
0.7213572826776212,0.0,1000,38,38,0,35,0,3,0.9210526315789473,top,Read N-dep,reference,24h,24.0,853
0.49537168688556854,0.0,1000,189,189,0,170,0,19,0.8994708994708994,core,Read N-dep,reference,24h,24.0,853
0.30358183305303593,0.0,1000,531,456,75,278,0,178,0.6096491228070176,extended,Read N-dep,reference,24h,24.0,853
0.13844393592677345,0.0,1000,38,38,0,11,2,25,0.2894736842105263,top,Tolonen cyanate,negative_control,,,1697
0.05377271681619508,0.0,1000,189,189,0,28,4,157,0.14814814814814814,core,Tolonen cyanate,negative_control,,,1697
0.02075479601239843,0.0,1000,531,519,12,31,7,481,0.05973025048169557,extended,Tolonen cyanate,negative_control,,,1697
0.030701754385964907,0.029,1000,38,38,0,3,0,35,0.07894736842105263,top,Tolonen urea,negative_control,,,1697
0.018560510624002685,0.001,1000,189,189,0,15,2,172,0.07936507936507936,core,Tolonen urea,negative_control,,,1697
