locus_tag,term_id,term_name
PMM0001,go:0006260,DNA replication
PMM0001,go:0006271,DNA strand elongation involved in DNA replication
PMM0003,go:0006189,^de novo^ IMP biosynthetic process
PMM0003,go:0006541,glutamine metabolic process
PMM0003,go:0009152,purine ribonucleotide biosynthetic process
PMM0004,go:0006189,^de novo^ IMP biosynthetic process
PMM0004,go:0006541,glutamine metabolic process
PMM0004,go:0009113,purine nucleobase biosynthetic process
PMM0004,go:0009116,nucleoside metabolic process
PMM0005,go:0006265,DNA topological change
PMM0006,go:0046813,receptor-mediated virion attachment to host cell
PMM0007,go:0008033,tRNA processing
PMM0007,go:0008616,tRNA queuosine(34) biosynthetic process
PMM0007,go:0042455,ribonucleoside biosynthetic process
PMM0009,go:0006353,DNA-templated transcription termination
PMM0009,go:0006355,regulation of DNA-templated transcription
PMM0010,go:0006614,SRP-dependent cotranslational protein targeting to membrane
PMM0010,go:0009306,protein secretion
PMM0011,go:0006470,protein dephosphorylation
PMM0012,go:0006591,ornithine metabolic process
PMM0012,go:0042450,L-arginine biosynthetic process via ornithine
PMM0012,go:1901607,alpha-amino acid biosynthetic process
PMM0013,go:0006397,mRNA processing
PMM0014,go:0002943,tRNA dihydrouridine synthesis
PMM0014,go:0008033,tRNA processing
PMM0015,go:0006979,response to oxidative stress
PMM0015,go:0030091,protein repair
PMM0016,go:0006457,protein folding
PMM0016,go:0050790,regulation of catalytic activity
PMM0017,go:0006457,protein folding
PMM0017,go:0009408,response to heat
PMM0019,go:0006412,translation
PMM0019,go:0042274,ribosomal small subunit biogenesis
PMM0021,go:0009252,peptidoglycan biosynthetic process
PMM0022,go:0007049,cell cycle
PMM0022,go:0008360,regulation of cell shape
PMM0022,go:0009252,peptidoglycan biosynthetic process
PMM0022,go:0051301,cell division
PMM0023,go:0006006,glucose metabolic process
PMM0023,go:0008150,biological_process
PMM0023,go:0015977,carbon fixation
PMM0024,go:0009228,thiamine biosynthetic process
PMM0024,go:0009229,thiamine diphosphate biosynthetic process
PMM0025,go:0000413,protein peptidyl-prolyl isomerization
PMM0025,go:0006457,protein folding
PMM0026,go:0006414,translational elongation
PMM0026,go:0010467,gene expression
PMM0026,go:0043043,peptide biosynthetic process
