locus_tag,term_id,term_name
PMM0001,go:0005737,cytoplasm
PMM0001,go:0009360,DNA polymerase III complex
PMM0004,go:0005829,cytosol
PMM0005,go:0005694,chromosome
PMM0005,go:0005737,cytoplasm
PMM0005,go:0009330,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex"
PMM0006,go:0009279,cell outer membrane
PMM0008,go:0016020,membrane
PMM0009,go:0005829,cytosol
PMM0010,go:0005737,cytoplasm
PMM0010,go:0005886,plasma membrane
PMM0012,go:0005575,cellular_component
PMM0012,go:0005737,cytoplasm
PMM0015,go:0005737,cytoplasm
PMM0019,go:0005737,cytoplasm
PMM0020,go:0005737,cytoplasm
PMM0026,go:0005575,cellular_component
PMM0026,go:0005737,cytoplasm
PMM0027,go:0009317,acetyl-CoA carboxylase complex
PMM0033,go:0016020,membrane
PMM0035,go:0005737,cytoplasm
PMM0036,go:0005737,cytoplasm
PMM0040,go:0005886,plasma membrane
PMM0041,go:0005829,cytosol
PMM0044,go:0005737,cytoplasm
PMM0046,go:0005575,cellular_component
PMM0046,go:0005622,intracellular anatomical structure
PMM0046,go:0005840,ribosome
PMM0046,go:0005886,plasma membrane
PMM0046,go:0030141,secretory granule
PMM0046,go:0045335,phagocytic vesicle
PMM0047,go:0005737,cytoplasm
PMM0048,go:0030956,glutamyl-tRNA(Gln) amidotransferase complex
PMM0049,go:0005737,cytoplasm
PMM0054,go:0005886,plasma membrane
PMM0055,go:0016020,membrane
PMM0057,go:0005694,chromosome
PMM0059,go:0016020,membrane
PMM0060,go:0009317,acetyl-CoA carboxylase complex
PMM0061,go:0016020,membrane
PMM0062,go:0009523,photosystem II
PMM0062,go:0016020,membrane
PMM0062,go:0042651,thylakoid membrane
PMM0064,go:0016020,membrane
PMM0065,go:0005886,plasma membrane
PMM0076,go:0005829,cytosol
PMM0079,go:0005737,cytoplasm
PMM0080,go:0005737,cytoplasm
PMM0081,go:0005737,cytoplasm
PMM0083,go:0005886,plasma membrane
PMM0084,go:0005886,plasma membrane
PMM0085,go:0016020,membrane
PMM0089,go:0043190,ATP-binding cassette (ABC) transporter complex
PMM0090,go:0030288,outer membrane-bounded periplasmic space
PMM0093,go:0016020,membrane
PMM0094,go:0005622,intracellular anatomical structure
PMM0095,go:0016020,membrane
PMM0097,go:0009279,cell outer membrane
PMM0097,go:1990281,efflux pump complex
PMM0100,go:0005737,cytoplasm
PMM0101,go:0016020,membrane
PMM0101,go:0030288,outer membrane-bounded periplasmic space
PMM0102,go:0005737,cytoplasm
PMM0107,go:0005829,cytosol
PMM0112,go:0005575,cellular_component
PMM0112,go:0005829,cytosol
PMM0121,go:0042651,thylakoid membrane
PMM0123,go:0009333,cysteine synthase complex
PMM0125,go:0016020,membrane
PMM0128,go:0005829,cytosol
PMM0128,go:0032993,protein-DNA complex
PMM0129,go:0009360,DNA polymerase III complex
PMM0130,go:0005575,cellular_component
PMM0130,go:0005737,cytoplasm
PMM0131,go:0005575,cellular_component
PMM0131,go:0005886,plasma membrane
PMM0133,go:0005829,cytosol
PMM0134,go:0005829,cytosol
PMM0134,go:0032993,protein-DNA complex
PMM0137,go:0005829,cytosol
PMM0138,go:0016020,membrane
PMM0144,go:0005886,plasma membrane
PMM0145,go:0042651,thylakoid membrane
PMM0147,go:0031470,carboxysome
PMM0148,go:0016020,membrane
PMM0149,go:0005575,cellular_component
PMM0149,go:0005886,plasma membrane
PMM0149,go:0012505,endomembrane system
PMM0149,go:0042651,thylakoid membrane
PMM0150,go:0042651,thylakoid membrane
PMM0152,go:0031470,carboxysome
PMM0153,go:0005829,cytosol
PMM0157,go:0031676,plasma membrane-derived thylakoid membrane
PMM0157,go:0045271,respiratory chain complex I
PMM0157,go:0098797,plasma membrane protein complex
PMM0158,go:0005886,plasma membrane
PMM0158,go:0042651,thylakoid membrane
PMM0159,go:0030964,NADH dehydrogenase complex
PMM0159,go:0042651,thylakoid membrane
PMM0160,go:0042651,thylakoid membrane
PMM0161,go:0005829,cytosol
PMM0164,go:0005575,cellular_component
PMM0164,go:0005737,cytoplasm
PMM0166,go:0005737,cytoplasm
PMM0167,go:0009320,phosphoribosylaminoimidazole carboxylase complex
PMM0169,go:0005829,cytosol
PMM0169,go:0032993,protein-DNA complex
PMM0171,go:0005575,cellular_component
PMM0171,go:0005737,cytoplasm
PMM0172,go:0042651,thylakoid membrane
PMM0176,go:0005886,plasma membrane
PMM0177,go:0005737,cytoplasm
PMM0178,go:0005575,cellular_component
PMM0178,go:0005737,cytoplasm
PMM0179,go:0005737,cytoplasm
PMM0180,go:0005737,cytoplasm
PMM0183,go:0005886,plasma membrane
PMM0184,go:0005829,cytosol
PMM0187,go:0005575,cellular_component
PMM0187,go:0005737,cytoplasm
PMM0188,go:0005737,cytoplasm
PMM0189,go:0005622,intracellular anatomical structure
PMM0191,go:0005575,cellular_component
PMM0191,go:0005618,cell wall
PMM0191,go:0005886,plasma membrane
PMM0192,go:0009898,cytoplasmic side of plasma membrane
PMM0192,go:0043190,ATP-binding cassette (ABC) transporter complex
