child_id,parent_id,child_level,parent_level
go:0005789,go:0098827,4,3
go:0005789,go:0042175,4,3
go:0005789,go:0031090,4,3
go:0009340,go:0009330,4,3
go:0000118,go:0005654,3,2
go:0000118,go:1902494,3,2
go:0000118,go:0140513,3,2
go:0022627,go:0015935,4,4
go:0022627,go:0022626,4,3
go:1902911,go:0061695,5,4
go:0009986,go:0110165,2,1
go:0097268,go:0099512,5,4
go:1902493,go:1990234,4,3
go:0035632,go:0098800,4,3
go:0000015,go:0005829,3,2
go:0000015,go:1902494,3,2
go:0098800,go:0005743,3,4
go:0098800,go:0098798,3,2
go:0098800,go:0098796,3,2
go:0098562,go:0098552,3,2
go:1904176,go:1902494,3,2
go:0005615,go:0005576,2,2
go:0005615,go:0110165,2,1
go:0009376,go:0031597,4,3
go:0009329,go:0009317,4,3
go:0009329,go:1990234,4,3
go:0043847,go:0043846,3,3
go:0043847,go:0140513,3,2
go:0099503,go:0031410,4,3
go:0048046,go:0005576,3,2
go:0031966,go:0005740,4,3
go:0031966,go:0031090,4,3
go:0044569,go:1902494,3,2
go:0009274,go:0005618,4,3
go:0042175,go:0012505,3,2
go:0042175,go:0016020,3,2
go:1990178,go:0043590,3,3
go:1990178,go:1990104,3,2
go:1990178,go:0032993,3,2
go:0000313,go:0043226,3,2
go:0000313,go:0005840,3,5
go:0033177,go:0016469,3,3
go:0033177,go:0098796,3,2
go:1902554,go:1902911,6,5
go:0031974,go:0110165,2,1
go:0033176,go:1904949,4,3
go:0033176,go:0090533,4,5
go:0033176,go:0016469,4,3
go:0009288,go:0043228,3,3
go:0009288,go:0042995,3,2
go:0015630,go:0005856,6,5
go:0005765,go:0005764,6,5
go:0005765,go:0098852,6,5
go:0034702,go:1902495,4,3
go:0005783,go:0012505,3,2
go:0005783,go:0005737,3,2
go:0005783,go:0043231,3,4
go:0042170,go:0009526,4,3
go:0042170,go:0031090,4,3
go:0120101,go:0120100,3,2
go:0120101,go:0098797,3,3
go:1990586,go:0030428,2,2
go:1990586,go:0032991,2,1
go:0005951,go:0005737,3,2
go:0005951,go:1902494,3,2
go:0019898,go:0110165,2,1
go:0019898,go:0016020,2,2
go:0009538,go:0098796,3,2
go:0009538,go:0009522,3,4
go:0000785,go:0005694,2,5
go:0000785,go:0110165,2,1
go:0009521,go:0098796,3,2
go:0009521,go:0034357,3,3
go:0009350,go:1902494,3,2
go:0009350,go:0140535,3,2
go:0030115,go:0030312,3,2
go:0000311,go:0009547,4,3
go:0000311,go:0000315,4,4
go:0005657,go:0005694,2,5
go:0005657,go:0110165,2,1
go:0009345,go:0005737,3,2
go:0009345,go:1902494,3,2
go:0030257,go:0032991,2,1
go:0048476,go:1905347,5,4
go:0030687,go:0030684,4,3
go:1990195,go:1902495,4,3
go:1990281,go:1902495,4,3
go:0009424,go:0009288,2,3
go:0009424,go:0110165,2,1
go:0005743,go:0031966,4,4
go:0005743,go:0019866,4,3
go:0110165,go:0005575,1,0
go:0098796,go:0032991,2,1
go:0098796,go:0016020,2,2
go:0031471,go:0031469,6,5
go:0000345,go:0005829,3,2
go:0000345,go:0000428,3,4
go:0009425,go:0110165,2,1
go:0009425,go:0009288,2,3
go:0019197,go:0005737,3,2
go:0019197,go:1902494,3,2
go:0042597,go:0110165,2,1
go:0098807,go:0009535,3,4
go:0098807,go:0098796,3,2
go:0019028,go:0044423,2,1
go:0005875,go:0015630,2,6
go:0005875,go:0032991,2,1
go:0009379,go:0033202,4,3
go:0030681,go:0030677,4,3
go:0030956,go:1902494,3,2
go:0030956,go:0140535,3,2
go:0043232,go:0043229,4,3
go:0043232,go:0043228,4,3
go:0005773,go:0005737,3,2
go:0005773,go:0043231,3,4
go:0030684,go:1990904,3,2
go:0005854,go:0005737,2,2
go:0005854,go:0032991,2,1
go:1902495,go:1990351,3,2
go:1902495,go:0098796,3,2
go:0140535,go:0032991,2,1
go:0009360,go:0042575,4,3
go:0005886,go:0016020,3,2
go:0005886,go:0071944,3,2
go:0032300,go:0032991,2,1
go:0032300,go:0005622,2,2
go:0098791,go:0005794,3,3
go:0098791,go:0031984,3,2
go:0055087,go:0005737,2,2
go:0055087,go:0032991,2,1
go:0098802,go:0098797,3,3
go:0098802,go:0043235,3,2
go:1990063,go:0031241,3,3
go:1990063,go:0098796,3,2
go:0017101,go:1902494,3,2
go:0017101,go:0140535,3,2
go:0005694,go:0043232,5,4
go:0030964,go:1990204,3,3
go:0030964,go:0098796,3,2
go:0048500,go:0005737,3,2
go:0048500,go:1990904,3,2
go:0009295,go:0110165,2,1
go:0099513,go:0005856,5,5
go:0099513,go:0099512,5,4
go:0009375,go:1990204,3,3
go:0009375,go:0140535,3,2
go:0009534,go:0009507,5,4
go:0009534,go:0031976,5,4
go:0031976,go:0009536,4,3
go:0031976,go:0009579,4,5
go:0032588,go:0005802,4,4
go:0032588,go:0031090,4,3
go:0009320,go:0005737,3,2
go:0009320,go:1902494,3,2
go:0042716,go:0005737,2,2
go:0042716,go:0110165,2,1
go:1990099,go:1990077,4,3
go:0005945,go:0005829,3,2
go:0005945,go:0061695,3,4
go:0043656,go:0033643,5,4
go:0031967,go:0043229,2,3
go:0031967,go:0043227,2,3
go:0031967,go:0110165,2,1
go:0009325,go:1990204,4,3
go:0009330,go:1902494,3,2
go:0030430,go:0033646,6,5
go:0031090,go:0043227,3,3
go:0031090,go:0016020,3,2
go:0031981,go:0005634,5,5
go:0031981,go:0070013,5,4
go:1905862,go:1990204,4,3
go:0043228,go:0043226,3,2
go:0016469,go:0098796,3,2
go:0055029,go:0005654,3,2
go:0055029,go:0140513,3,2
go:0055029,go:0000428,3,4
go:0045335,go:0030139,5,4
go:0033646,go:0043656,5,5
