term_id,term_name,direction,n_clusters_supporting,n_up,n_down,contributing_clusters,per_experiment_breakdown,ontology,rule_applied
cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,up,3,3,0,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|up|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|up|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|24h|up,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 1, ""down"": 0}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 2, ""down"": 0}}",cyanorak_role,core
cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,5,5,0,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|6h|up|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|up|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|up|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|24h|up|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|up,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 3, ""down"": 0}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 2, ""down"": 0}}",cyanorak_role,core
cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,down,6,0,6,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|6h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|24h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 4}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 2}}",cyanorak_role,core
cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,5,0,5,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|6h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 4}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 1}}",cyanorak_role,core
cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,5,0,5,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|24h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 3}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 2}}",cyanorak_role,core
cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,4,0,4,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 3}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 1}}",cyanorak_role,core
cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,5,0,5,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|6h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|24h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 3}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 2}}",cyanorak_role,core
kegg.pathway:ko00190,Oxidative phosphorylation,down,6,1,6,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|6h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|24h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 1, ""down"": 4}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 2}}",kegg,core
kegg.pathway:ko00195,Photosynthesis,down,5,0,5,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|24h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 3}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 2}}",kegg,core
kegg.pathway:ko00710,Carbon fixation by Calvin cycle,down,5,0,5,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|12h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|6h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|24h|down|10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray|48h|down|10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq|12h|down,"{""10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray"": {""up"": 0, ""down"": 4}, ""10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq"": {""up"": 0, ""down"": 1}}",kegg,core
