cluster_a,cluster_b,distance,size
0.0,1.0,0.0,2.0
5.0,61.0,0.0,3.0
4.0,7.0,0.0,2.0
12.0,63.0,0.0,3.0
33.0,64.0,0.0,4.0
34.0,65.0,0.0,5.0
36.0,66.0,0.0,6.0
13.0,62.0,0.0,4.0
6.0,11.0,0.0,2.0
9.0,39.0,0.0,2.0
16.0,69.0,0.0,3.0
18.0,68.0,0.0,5.0
22.0,72.0,0.0,6.0
35.0,73.0,0.0,7.0
28.0,29.0,0.0,2.0
17.0,71.0,0.0,4.0
21.0,76.0,0.0,5.0
37.0,77.0,0.0,6.0
38.0,78.0,0.0,7.0
44.0,50.0,0.0,2.0
51.0,80.0,0.0,3.0
41.0,47.0,0.0,2.0
49.0,56.0,0.0,2.0
57.0,83.0,0.0,3.0
58.0,84.0,0.0,4.0
23.0,79.0,0.0625,8.0
43.0,48.0,0.09090909090909091,2.0
74.0,75.0,0.10526315789473684,9.0
30.0,46.0,0.1111111111111111,2.0
70.0,86.0,0.14010416666666667,10.0
27.0,88.0,0.18988648090815274,10.0
10.0,67.0,0.19999999999999998,7.0
2.0,20.0,0.2,2.0
8.0,31.0,0.2,2.0
87.0,89.0,0.2318181818181818,4.0
52.0,81.0,0.25,4.0
90.0,91.0,0.250030959752322,20.0
19.0,93.0,0.26666666666666666,3.0
14.0,32.0,0.2857142857142857,2.0
42.0,98.0,0.35000000000000003,4.0
94.0,96.0,0.35000000000000003,6.0
3.0,92.0,0.39285714285714285,8.0
99.0,102.0,0.41870629370629375,10.0
25.0,26.0,0.42857142857142855,2.0
95.0,97.0,0.4512120232708468,24.0
24.0,103.0,0.48769230769230776,11.0
40.0,45.0,0.5,2.0
54.0,82.0,0.5,3.0
104.0,106.0,0.5558386058386057,13.0
101.0,109.0,0.5764220110373957,19.0
15.0,105.0,0.6026266922648502,25.0
100.0,110.0,0.6836562560246771,23.0
55.0,107.0,0.75,3.0
111.0,112.0,0.7571491005741242,48.0
53.0,114.0,0.8777750019695647,49.0
59.0,115.0,0.9002670795959163,50.0
60.0,116.0,0.9140712618135218,51.0
85.0,117.0,0.915919537725675,55.0
108.0,118.0,0.9480520317524258,58.0
113.0,119.0,0.9566837374219674,61.0
