strain,regulation,assimilation_core,ammonium_uptake,urea_uptake,urease,cyanate,nitrate_nitrite,mo_cofactor,met_biosynthesis,other
Prochlorococcus AS9601,0.4,0.75,0.3333333333333333,0.7142857142857143,0.7,0.0,0.0,0.1111111111111111,0.8,0.3333333333333333
Prochlorococcus MED4,0.4,0.75,0.3333333333333333,0.7142857142857143,0.7,0.5,0.0,0.1111111111111111,0.8,0.3333333333333333
Prochlorococcus MIT0801,0.4,0.75,0.3333333333333333,0.7142857142857143,0.7,0.125,0.2857142857142857,0.1111111111111111,0.8,0.6666666666666666
Prochlorococcus MIT9301,0.6,0.75,0.3333333333333333,0.7142857142857143,0.7,0.0,0.0,0.1111111111111111,0.8,0.3333333333333333
Prochlorococcus MIT9303,0.6,0.75,0.3333333333333333,0.7142857142857143,0.7,0.0,0.2857142857142857,0.1111111111111111,0.8,0.3333333333333333
Prochlorococcus MIT9312,0.4,0.75,0.3333333333333333,0.7142857142857143,0.7,0.0,0.0,0.1111111111111111,0.8,0.3333333333333333
Prochlorococcus MIT9313,0.6,0.75,0.3333333333333333,0.7142857142857143,0.7,0.0,0.2857142857142857,0.1111111111111111,0.8,0.3333333333333333
Prochlorococcus NATL1A,0.4,0.75,0.3333333333333333,0.7142857142857143,0.7,0.125,0.2857142857142857,0.1111111111111111,0.8,0.6666666666666666
Prochlorococcus NATL2A,0.4,0.75,0.3333333333333333,0.7142857142857143,0.7,0.125,0.2857142857142857,0.1111111111111111,0.8,0.6666666666666666
Prochlorococcus RSP50,0.4,0.75,0.3333333333333333,0.7142857142857143,0.7,0.25,0.0,0.1111111111111111,0.8,0.3333333333333333
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),0.4,0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.8,0.3333333333333333
Synechococcus WH8102,0.8,0.75,0.3333333333333333,0.7142857142857143,0.7,0.5,0.5714285714285714,0.8888888888888888,1.0,0.0
Synechococcus WH7803,0.4,1.0,0.3333333333333333,0.14285714285714285,0.0,0.25,0.7142857142857143,0.8888888888888888,1.0,0.0
Synechococcus CC9311,0.6,1.0,0.6666666666666666,0.7142857142857143,0.7,0.25,0.7142857142857143,1.0,1.0,0.3333333333333333
Synechococcus sp. BL107,0.6,0.75,0.3333333333333333,0.7142857142857143,0.7,0.25,0.7142857142857143,0.8888888888888888,1.0,0.0
Synechococcus PCC 7002,1.0,1.0,0.3333333333333333,0.5714285714285714,0.7,0.25,0.7142857142857143,0.6666666666666666,0.2,0.0
Synechococcus elongatus PCC 7942,1.0,1.0,0.3333333333333333,0.0,0.0,0.375,0.42857142857142855,0.5555555555555556,0.6,0.0
Synechococcus elongatus UTEX 2973,1.0,1.0,0.3333333333333333,0.0,0.0,0.375,0.42857142857142855,0.5555555555555556,0.6,0.0
Thermosynechococcus vestitus BP-1,0.6,0.75,0.3333333333333333,0.7142857142857143,0.7,0.0,0.42857142857142855,0.5555555555555556,0.2,0.0
