experiment_id,organism,genus,omics_type,locus_tag,gene_name,product,gene_category,best_rank,direction,log2fc,padj,timepoint
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_13940,suxA,TonB-dependent receptor,Cell wall and membrane,1.0,up,3.6379482193855273,0.0013644786708038,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_16910,ankB,ankyrin repeat domain-containing protein,Unknown,1.0,down,-5.217624582655805,0.0056175485703953,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_05680,slyA,MarR family winged helix-turn-helix transcriptional regulator,Transcription,2.0,down,-4.98527895129211,0.0131675437106262,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_18535,,TonB-dependent receptor,Inorganic ion transport,2.0,up,3.530194210223916,1.585228236269333e-07,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_03615,,thermostable hemolysin,Unknown,3.0,down,-4.766532165434427,4.214544724101479e-06,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_17120,,hypothetical protein,Unknown,3.0,up,3.528702401614769,7.685540113233018e-07,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_03610,,AMP-binding protein,Lipid metabolism,4.0,down,-4.177386507529768,7.951114470180855e-09,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_18130,,MFS transporter,Carbohydrate metabolism,4.0,up,3.526747363806744,4.428092361680821e-06,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_14325,,retropepsin-like aspartic protease,Unknown,5.0,down,-4.169680775698811,0.0337741514905504,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_18135,ams,alpha-amylase family glycosyl hydrolase,Carbohydrate metabolism,5.0,up,3.3965269416191046,2.1335192305816683e-08,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_03625,,TVP38/TMEM64 family protein,Unknown,6.0,down,-4.162120320611519,0.0002875594127704,day 11
10.1101/2025.11.24.690089_coculture_prochlorococcus_med4_hot1a3_rnaseq,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_13955,,TonB-dependent receptor,Inorganic ion transport,6.0,up,3.2448569707765293,2.7065906010107834e-10,day 11
