genus,hit_count
Staphylococcus,21
Clostridium,18
Pseudomonas,15
Listeria,8
Acidithiobacillus,8
Mycobacterium,8
Streptococcus,8
Escherichia,8
Arabidopsis,7
Oryza,7
Hydrogenovibrio,6
Salmonella,6
Bradyrhizobium,6
Rhodopseudomonas,5
Triticum,5
Acinetobacter,5
Zea,5
Neisseria,5
Citrobacter,4
Proteus,4
Helicobacter,4
Helianthus,4
Halothiobacillus,4
Vibrio,4
Thiocapsa,4
Solanum,4
Bacillus,4
Aspergillus,4
Asplenium,4
Spinacia,3
Brassica,3
Allochromatium,3
Thioalkalivibrio,3
Bilophila,3
Vitis,3
Fusobacterium,3
Plasmodium,3
Picea,3
Glycine,3
Enterococcus,3
Cryptococcus,3
Mycolicibacterium,3
Nicotiana,3
Levilactobacillus,3
Codonopsis,3
Ralstonia,3
Candidatus,3
Araucaria,3
Streptomyces,3
Campylobacter,3
Klebsiella,3
Theileria,2
Thermacetogenium,2
Agrobacterium,2
Anthoceros,2
Arabis,2
Trypanosoma,2
Pantoea,2
Chlamydomonas,2
Camellia,2
Commelina,2
Corynebacterium,2
Schizosaccharomyces,2
Saccharomyces,2
Prunus,2
Rhodopirellula,2
Ostreococcus,2
Haplopteris,2
Desulfovibrio,2
Lactiplantibacillus,2
Magnolia,2
Deschampsia,2
Drosera,2
Limonium,2
Acidihalobacter,2
Trillium,2
Toxoplasma,2
Cupriavidus,2
Ferrovum,2
Adiantum,2
Yersinia,2
Xylella,2
Actinobacillus,1
Zinnia,1
Abies,1
Zingiber,1
Zamioculcas,1
Xanthomonas,1
Xanthobacter,1
Vittaria,1
Veronica,1
Vanilla,1
Adoxa,1
Trevesia,1
Treponema,1
Trema,1
Treichelia,1
Tragia,1
Toxicodendron,1
Tovaria,1
Torilis,1
Tolypella,1
Cuscuta,1
Cucurbita,1
Gaiella,1
Francisella,1
Flavobacterium,1
Flaveria,1
Fagus,1
Eustoma,1
Euglena,1
Erythrina,1
Erwinia,1
Eriogonum,1
Enterobacter,1
Entamoeba,1
Homo,1
Hedythyrsus,1
Haworthia,1
Halobacterium,1
Haloarcula,1
Haliangium,1
Haemophilus,1
Glutamicibacter,1
Gluconobacter,1
Geobacter,1
Garrya,1
Legionella,1
Lactuca,1
Lactococcus,1
Lactobacillus,1
Klaineanthus,1
Kigelia,1
Jasminum,1
Ixodes,1
Iris,1
Ilex,1
Ichthyophthirius,1
Chrysanthemum,1
Chlorella,1
Drosophila,1
Distichlis,1
Dioscorea,1
Dinoroseobacter,1
Didierea,1
Desmodium,1
Deinococcus,1
Datura,1
Cyclanthus,1
Cycas,1
Humulus,1
Hordeum,1
Mariprofundus,1
Magallana,1
Macaca,1
Lysinibacillus,1
Lysinema,1
Lupinus,1
Lolium,1
Liquidambar,1
Linum,1
Limosilactobacillus,1
Lemna,1
Leishmania,1
Nitrobacter,1
Neurospora,1
Neurachne,1
Nelumbo,1
Mytilaria,1
Microcodon,1
Methylococcus,1
Methylocaldum,1
Methanothermobacter,1
Methanococcus,1
Metanarthecium,1
Medicago,1
Phaseolus,1
Phaeodactylum,1
Pentachondra,1
Penaea,1
Pelargonium,1
Paraserianthes,1
Paracoccidioides,1
Paracidovorax,1
Oryctolagus,1
Ogataea,1
Caenorhabditis,1
Burkholderia,1
Brucella,1
Cucumis,1
Ctenocephalides,1
Cryptosporidium,1
Cryptomeria,1
Crassula,1
Clostridioides,1
Claoxylon,1
Citrus,1
Nypa,1
Nosema,1
Nitrosomonas,1
Porphyromonas,1
Populus,1
Polystichum,1
Polypodium,1
Polynucleobacter,1
Polygonatum,1
Pleopeltis,1
Platanus,1
Pisum,1
Pirellula,1
Phytophthora,1
Physocarpus,1
Physcomitrium,1
Photobacterium,1
Rhodoleia,1
Rhizobium,1
Rattus,1
Radiovittaria,1
Pyrus,1
Pyrococcus,1
Puccinia,1
Psiloxylon,1
Pseudonocardia,1
Psathyrostachys,1
Sesbania,1
Senecio,1
Sedum,1
Saxifraga,1
Saururus,1
Sapium,1
Salvia,1
Saccoloma,1
Saccharolobus,1
Ruminococcus,1
Arthrobacter,1
Arachis,1
Chlamydophila,1
Chlamydia,1
Ceratopetalum,1
Cerastium,1
Centella,1
Cassia,1
Capsella,1
Candida,1
Campanula,1
Rickettsia,1
Ricinus,1
Rhodospirillum,1
Syntrichia,1
Sulfurospirillum,1
Strelitzia,1
Sporomusa,1
Sphaerochara,1
Sorghum,1
Sodalis,1
Sinorhizobium,1
Sideroxydans,1
Shewanella,1
Setaria,1
Thiobacter,1
Thiobacillus,1
Thermus,1
Thelypteris,1
Tetraselmis,1
Tetrapanax,1
Tetrameles,1
Tetradesmus,1
Tetrachondra,1
Tetracarpaea,1
Vairimorpha,1
Vachellia,1
Acetobacterium,1
Bos,1
Bordetella,1
Bifidobacterium,1
Beta,1
Begonia,1
Baumannia,1
Asaia,1
Tecticornia,1
Tapirira,1
Tabebuia,1
Acetobacter,1
Antirrhinum,1
Aneura,1
Allium,1
Akania,1
Agrostis,1
Ageratina,1
Agathis,1
Aethionema,1
Tmesipteris,1
Thuja,1
Trochodendron,1
