locus_tag,gene_name,gene_name_col,treatment_type,status,n_experiments,n_timepoints,n_sig_up,n_sig_down,max_log2fc,min_log2fc,median_log2fc,best_rank_up,best_rank_down
PMM0246,ntcA,ntcA,carbon_stress,not_tested,0,0,0,0,,,,,
PMM0246,ntcA,,coculture,mixed,2,2,1,1,2.400821454544718,-11.45172627,-4.5254524077276415,27.0,101.0
PMM0246,ntcA,ntcA,iron_stress,not_tested,0,0,0,0,,,,,
PMM0246,ntcA,ntcA,light_stress,not_tested,0,0,0,0,,,,,
PMM0246,ntcA,,nitrogen_stress,mixed,8,25,13,2,4.45086478182776,-2.271141941,1.34489758809407,7.0,68.0
PMM0246,ntcA,ntcA,phosphorus_stress,not_tested,0,0,0,0,,,,,
PMM0246,ntcA,ntcA,viral,not_tested,0,0,0,0,,,,,
PMM1463,glnB,glnB,carbon_stress,not_tested,0,0,0,0,,,,,
PMM1463,glnB,,coculture,not_responded,2,2,0,0,0.6824204529870564,-1.161068434,-0.23932399050647174,,
PMM1463,glnB,glnB,iron_stress,not_tested,0,0,0,0,,,,,
PMM1463,glnB,glnB,light_stress,not_tested,0,0,0,0,,,,,
PMM1463,glnB,,nitrogen_stress,mixed,8,25,11,4,3.29939047495524,-2.578430371607697,1.27472082773845,11.0,40.0
PMM1463,glnB,glnB,phosphorus_stress,not_tested,0,0,0,0,,,,,
PMM1463,glnB,glnB,viral,not_tested,0,0,0,0,,,,,
PMM0393,pipX,pipX,carbon_stress,not_tested,0,0,0,0,,,,,
PMM0393,pipX,,coculture,down,2,2,0,1,0.1279588176279954,-11.03686045,-5.454450816186003,,140.0
PMM0393,pipX,pipX,iron_stress,not_tested,0,0,0,0,,,,,
PMM0393,pipX,pipX,light_stress,not_tested,0,0,0,0,,,,,
PMM0393,pipX,,nitrogen_stress,up,7,22,2,0,1.06904792785645,-1.440531926,-0.08298985163370876,189.0,
PMM0393,pipX,pipX,phosphorus_stress,not_tested,0,0,0,0,,,,,
PMM0393,pipX,pipX,viral,not_tested,0,0,0,0,,,,,
PMM0920,glnA,,carbon_stress,mixed,3,3,1,2,0.7,-1.1,-0.6,125.0,172.0
PMM0920,glnA,,coculture,mixed,2,2,1,1,2.4390669451712435,-2.79260227,-0.17676766241437836,26.0,589.0
PMM0920,glnA,glnA,iron_stress,not_tested,0,0,0,0,,,,,
PMM0920,glnA,,light_stress,down,1,1,0,1,-1.665,-1.665,-1.665,,24.0
PMM0920,glnA,,nitrogen_stress,mixed,8,25,17,2,5.06051169137151,-2.173486157594152,2.3932162920634,4.0,65.0
PMM0920,glnA,glnA,phosphorus_stress,not_tested,0,0,0,0,,,,,
PMM0920,glnA,glnA,viral,not_tested,0,0,0,0,,,,,
PMM1512,glsF,glsF,carbon_stress,not_tested,0,0,0,0,,,,,
PMM1512,glsF,,coculture,not_responded,2,2,0,0,0.8981594094488956,-1.238454401,-0.17014749577555222,,
PMM1512,glsF,glsF,iron_stress,not_tested,0,0,0,0,,,,,
PMM1512,glsF,glsF,light_stress,not_tested,0,0,0,0,,,,,
PMM1512,glsF,,nitrogen_stress,up,8,25,3,0,2.529728484721897,-0.395454406738279,0.52946090698242,280.0,
PMM1512,glsF,glsF,phosphorus_stress,not_tested,0,0,0,0,,,,,
PMM1512,glsF,glsF,viral,not_tested,0,0,0,0,,,,,
PMM0263,amt1,,carbon_stress,down,1,1,0,1,-0.8,-0.8,-0.8,,223.0
PMM0263,amt1,,coculture,not_responded,2,2,0,0,1.3913118685918795,-2.145913194,-0.37730066270406015,,
PMM0263,amt1,amt1,iron_stress,not_tested,0,0,0,0,,,,,
PMM0263,amt1,amt1,light_stress,not_tested,0,0,0,0,,,,,
PMM0263,amt1,,nitrogen_stress,mixed,8,25,9,1,3.8635086439112745,-1.5390575528420043,0.647590637207035,12.0,179.0
PMM0263,amt1,amt1,phosphorus_stress,not_tested,0,0,0,0,,,,,
PMM0263,amt1,,viral,up,1,3,3,0,0.597,0.458,0.465,6.0,
PMM0370,cynA,,carbon_stress,down,2,2,0,2,-1.0,-1.1,-1.05,,152.0
PMM0370,cynA,,coculture,up,2,2,1,0,3.1049891422154707,-0.659818656,1.2225852431077353,14.0,
PMM0370,cynA,,iron_stress,mixed,3,4,2,1,0.75,-1.1,0.42500000000000004,80.0,81.0
PMM0370,cynA,cynA,light_stress,not_tested,0,0,0,0,,,,,
PMM0370,cynA,,nitrogen_stress,up,8,25,15,0,5.7284866494887,-1.98,2.44718742370605,2.0,
PMM0370,cynA,cynA,phosphorus_stress,not_tested,0,0,0,0,,,,,
PMM0370,cynA,cynA,viral,not_tested,0,0,0,0,,,,,
PMM0371,cynB,cynB,carbon_stress,not_tested,0,0,0,0,,,,,
PMM0371,cynB,,coculture,mixed,2,2,1,1,2.46640882596646,-5.233951827,-1.3837715005167701,24.0,512.0
PMM0371,cynB,cynB,iron_stress,not_tested,0,0,0,0,,,,,
PMM0371,cynB,cynB,light_stress,not_tested,0,0,0,0,,,,,
PMM0371,cynB,,nitrogen_stress,up,8,25,11,0,4.279566443092617,-0.6925340511172716,1.27374362945557,3.0,
PMM0371,cynB,cynB,phosphorus_stress,not_tested,0,0,0,0,,,,,
PMM0371,cynB,cynB,viral,not_tested,0,0,0,0,,,,,
PMM0372,cynD,cynD,carbon_stress,not_tested,0,0,0,0,,,,,
