locus_tag,gene_name,product,gene_category,annotation_quality,organism_name,annotation_types,expression_edge_count,significant_up_count,significant_down_count,closest_ortholog_group_size,closest_ortholog_genera,cluster_membership_count,cluster_types,numeric_metric_count,boolean_metric_count,categorical_metric_count,gene_summary,function_description,all_identifiers,numeric_metric_types_observed,boolean_metric_types_observed,categorical_metric_types_observed,compartments_observed,derived_metric_count,derived_metric_value_kinds
PMM0001,dnaN,"DNA polymerase III, beta subunit",Replication and repair,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,31,3,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,6,0,0,"dnaN :: DNA polymerase III, beta subunit :: Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria; Pol III exhibits 3^-5^ exonuclease proofreading activity. The beta chain is required for initiation of replication as well as for processivity of DNA replication","Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria; Pol III exhibits 3^-5^ exonuclease proofreading activity. The beta chain is required for initiation of replication as well as for processivity of DNA replication",CK_Pro_MED4_00001 | Q7V3R7 | TX50_RS00020 | WP_011131639.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
PMM0003,purL,"phosphoribosylformylglycinamidine synthase, synthetase domain",Nucleotide metabolism,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,28,1,1,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,6,0,0,"purL :: phosphoribosylformylglycinamidine synthase, synthetase domain :: Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL",Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,CK_Pro_MED4_00003 | TX50_RS00030 | WP_011131641.1,damping_ratio | diel_amplitude_protein_log2 | diel_amplitude_transcript_log2 | peak_time_protein_h | peak_time_transcript_h | protein_transcript_lag_h,,,whole_cell,6,numeric
PMM0004,purF,amidophosphoribosyltransferase,Nucleotide metabolism,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,28,2,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,purF :: amidophosphoribosyltransferase :: Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine,Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine,CK_Pro_MED4_00004 | Q7TUI2 | TX50_RS00035 | WP_011131642.1,,,,,0,
PMM0005,,"DNA gyrase/topoisomerase IV, subunit A family protein",Replication and repair,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,24,1,5,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"DNA gyrase/topoisomerase IV, subunit A family protein :: COG188 Type IIA topoisomerase (DNA gyrase topo II, topoisomerase IV), A subunit DNA replication, recombination, and repair","COG188 Type IIA topoisomerase (DNA gyrase topo II, topoisomerase IV), A subunit DNA replication, recombination, and repair",CK_Pro_MED4_00005 | Q7V3R4 | TX50_RS00040 | WP_011131643.1,,,,,0,
PMM0006,,tetratricopeptide repeat family protein,Unknown,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | tigr_role,24,5,1,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,tetratricopeptide repeat family protein :: Alternative locus ID,Alternative locus ID,CK_Pro_MED4_00006 | Q7V3R3 | TX50_RS00045 | WP_011131644.1,,,,,0,
PMM0007,queG,epoxyqueuosine reductase,Translation,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,16,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"queG :: epoxyqueuosine reductase :: Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)","Catalyzes the conversion of epoxyqueuosine (oQ) to queuosine (Q), which is a hypermodified base found in the wobble positions of tRNA(Asp), tRNA(Asn), tRNA(His) and tRNA(Tyr)",CK_Pro_MED4_00007 | Q7V3R2 | TX50_RS00050 | WP_011131645.1,,,,,0,
PMM0014,dusA,tRNA dihydrouridine synthase,Translation,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,32,9,0,13.0,Prochlorococcus | Synechococcus,3,condition_comparison | diel | time_course,0,0,0,"dusA :: tRNA dihydrouridine synthase :: Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. Specifically modifies U20 and U20a in tRNAs","Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. Specifically modifies U20 and U20a in tRNAs",CK_Pro_MED4_00014 | Q7V3Q6 | TX50_RS00085 | WP_011131652.1,,,,,0,
PMM0019,rsgA,ribosome biogenesis GTPase / thiamine phosphate phosphatase,Coenzyme metabolism,3,Prochlorococcus MED4,go_bp | go_mf | go_cc | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,24,5,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,"rsgA :: ribosome biogenesis GTPase / thiamine phosphate phosphatase :: One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit","One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit",CK_Pro_MED4_00019 | Q7V3Q1 | TX50_RS00110 | WP_011131657.1,,,,,0,
PMM0028,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,Coenzyme metabolism,3,Prochlorococcus MED4,go_bp | go_mf | pfam | cog_category | kegg | brite | ec | cyanorak_role | tigr_role,24,1,0,13.0,Prochlorococcus | Synechococcus,2,condition_comparison | diel,0,0,0,pdxA :: 4-hydroxythreonine-4-phosphate dehydrogenase PdxA :: Belongs to the PdxA family,Belongs to the PdxA family,CK_Pro_MED4_00028 | Q7V3P4 | TX50_RS00155 | WP_011131666.1,,,,,0,
PMM0030,,conserved hypothetical protein,Unknown,0,Prochlorococcus MED4,tigr_role,27,10,4,4.0,Prochlorococcus,4,condition_comparison | diel | time_course,0,0,0,conserved hypothetical protein :: -,,CK_Pro_MED4_00030 | TX50_RS00165 | WP_152556136.1,,,,,0,
