seed,pool,organism,genus,identity,coverage,tier,in_cyanorak,is_mag,keep,n_papers
NATL1_02111,pro,Prochlorococcus marinus str. NATL1A,Prochlorococcus,100,100,cyano,True,False,True,1
NATL1_02111,pro,Dolichospermum sp. UHCC 0315A,Dolichospermum,29,89,cyano,False,False,True,1
NATL1_02111,pro,Synechocystis sp. PCC 6803,Synechocystis,34,43,cyano,False,False,True,2
NATL1_02111,pro,Streptococcus pneumoniae R6,Streptococcus,31,42,out,False,False,False,1
NATL1_02111,pro,Streptococcus pyogenes M1 GAS,Streptococcus,33,41,out,False,False,False,1
NATL1_02111,pro,Streptococcus gordonii str. Challis substr. CH1,Streptococcus,30,42,out,False,False,False,1
NATL1_02111,pro,Streptococcus gallolyticus UCN34,Streptococcus,27,55,out,False,False,False,1
NATL1_02111,pro,Bacillus subtilis (strain 168),Bacillus,27,41,out,False,False,False,7
PMM1028,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,100,100,cyano,True,False,True,1
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,100,100,cyano,True,False,True,3
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,91,99,cyano,True,False,True,4
PMM1135,pro,Synechococcus sp. WH 8102,Synechococcus,47,69,cyano,True,False,True,1
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,57,62,cyano,True,False,True,1
PMM1135,pro,Synechococcus sp. CC9605,Synechococcus,45,70,cyano,True,False,True,1
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,79,43,cyano,True,False,True,1
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,72,34,cyano,True,False,True,1
PMM1135,pro,Cyanothece sp. ATCC 51142,Cyanothece,42,68,cyano,False,False,True,1
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,72,47,cyano,True,False,True,2
PMM1135,pro,Cyanothece sp. ATCC 51142,Cyanothece,42,89,cyano,False,False,True,1
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,64,49,cyano,True,False,True,3
PMM1135,pro,Prochlorococcus marinus str. MIT 9313,Prochlorococcus,44,66,cyano,True,False,True,1
PMM1135,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,43,82,cyano,False,False,True,3
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,72,47,cyano,True,False,True,2
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,50,77,cyano,False,False,True,8
PMM1135,pro,Nostoc sp. PCC 7120,Nostoc,35,94,cyano,False,False,True,1
PMM1135,pro,Prochlorococcus marinus str. MIT 9313,Prochlorococcus,57,54,cyano,True,False,True,1
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,48,77,cyano,False,False,True,8
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,100,100,cyano,True,False,True,1
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,88,49,cyano,True,False,True,1
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,92,78,cyano,True,False,True,1
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,57,62,cyano,True,False,True,3
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,53,65,cyano,True,False,True,4
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,73,59,cyano,True,False,True,2
PMM1404,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,70,59,cyano,True,False,True,2
PMM1404,pro,Prochlorococcus marinus str. MIT 9313,Prochlorococcus,66,57,cyano,True,False,True,1
PMT1742,pro,Nostoc sp. PCC 7120,Nostoc,70,99,cyano,False,False,True,2
PMT1742,pro,Microcystis aeruginosa (strain NIES-843 / IAM M-2473),Microcystis,70,99,cyano,False,False,True,1
PMT1742,pro,Synechocystis sp. PCC 6803,Synechocystis,70,99,cyano,False,False,True,2
PMT1742,pro,Ostreococcus tauri,Ostreococcus,69,100,out,False,False,False,1
PMT1742,pro,Phaeodactylum tricornutum (strain CCAP 1055/1),Phaeodactylum,67,100,out,False,False,False,2
PMT1742,pro,Crocosphaera subtropica ATCC 51142,Crocosphaera,66,99,cyano,False,False,True,1
PMT1742,pro,Lactuca sativa,Lactuca,66,99,out,False,False,False,1
PMT1742,pro,Solanum lycopersicum,Solanum,66,99,out,False,False,False,2
PMT1742,pro,Ruminococcus flavefaciens 007c,Ruminococcus,65,99,out,False,False,False,1
PMT1742,pro,Populus alba,Populus,62,99,out,False,False,False,1
PMT1742,pro,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),Thermus,68,99,out,False,False,False,0
PMT1742,pro,Arabidopsis thaliana,Arabidopsis,62,99,out,False,False,False,1
PMT1742,pro,Arabis hirsuta,Arabis,62,99,out,False,False,False,1
PMT1742,pro,Anthoceros angustus (Hornwort) (Anthoceros formosae),Anthoceros,62,99,out,False,False,False,0
PMT1742,pro,Vitis vinifera,Vitis,61,99,out,False,False,False,1
PMT1742,pro,Streptomyces scabiei (strain 87.22),Streptomyces,67,99,out,False,False,False,1
PMT1742,pro,Clostridium acetobutylicum ATCC 824,Clostridium,65,99,out,False,False,False,1
PMT1742,pro,Corynebacterium glutamicum ATCC 13032,Corynebacterium,68,99,out,False,False,False,1
PMT1742,pro,Streptococcus mutans UA159,Streptococcus,67,99,out,False,False,False,1
PMT1742,pro,Enterococcus faecalis,Enterococcus,69,99,out,False,False,False,0
PMT1742,pro,Commelina communis,Commelina,64,98,out,False,False,False,3
PMT1742,pro,Didierea madagascariensis,Didierea,63,100,out,False,False,False,2
PMT1742,pro,Desulfovibrio vulgaris Hildenborough,Desulfovibrio,65,99,other_proteo,False,False,False,1
PMT1742,pro,Lactococcus lactis subsp. cremoris MG1363,Lactococcus,66,99,out,False,False,False,1
PMT1742,pro,Streptomyces rimosus,Streptomyces,67,99,out,False,False,False,4
PMT1742,pro,Streptococcus pneumoniae R6,Streptococcus,66,99,out,False,False,False,3
PMT1742,pro,Streptococcus agalactiae LMG 14747,Streptococcus,66,99,out,False,False,False,1
PMT1742,pro,Streptococcus sanguinis SK36,Streptococcus,66,99,out,False,False,False,3
PMT1742,pro,Chlamydophila abortus S26/3,Chlamydophila,63,99,out,False,False,False,1
PMT1742,pro,Oryza sativa subsp. japonica,Oryza,61,98,out,False,False,False,1
PMT1742,pro,Staphylococcus epidermidis RP62A,Staphylococcus,65,99,out,False,False,False,3
PMT1742,pro,Zea mays (Maize),Zea,60,98,out,False,False,False,0
PMT1742,pro,Bacillus subtilis (strain 168),Bacillus,66,99,out,False,False,False,2
PMT1742,pro,Deschampsia antarctica,Deschampsia,60,98,out,False,False,False,1
PMT1742,pro,Listeria monocytogenes EGD-e,Listeria,65,99,out,False,False,False,5
PMT1742,pro,Spinacia oleracea (Spinach),Spinacia,61,100,out,False,False,False,1
PMT1742,pro,Staphylococcus aureus subsp. aureus str. Newman,Staphylococcus,65,99,out,False,False,False,6
PMT1742,pro,Commelina communis,Commelina,62,99,out,False,False,False,3
