pool,sel_rank,rep_locus_tag,rep_organism,rep_gene_name,rep_product,gene_category,annotation_state,freq,best_rank,n_collapsed,ortholog_group_size,n_genera,og_source,og_level,response,conservation,info_gain,score,rep_protein_id,dedup_key
pro,1,PMM1028,Prochlorococcus MED4,,uncharacterized conserved secreted protein,Unknown,catch_all_only,9,1.0,1,28.0,2,cyanorak,curated,0.96,0.37142749044366197,0.75,0.35657039082591546,WP_011132661.1,cyanorak:CK_00000141
pro,2,PMM1404,Prochlorococcus MED4,hli,high light inducible protein,Stress response and adaptation,informative_multi,10,1.0,6,40.0,1,cyanorak,curated,1.0,0.3426415983636347,0.15,0.3426415983636347,WP_011133033.1,cyanorak:CK_00002025
pro,3,PMM1135,Prochlorococcus MED4,hli,high light inducible protein,Stress response and adaptation,informative_multi,10,1.0,7,31.0,1,cyanorak,curated,1.0,0.32348206617142805,0.15,0.32348206617142805,WP_011132768.1,cyanorak:CK_00002026
pro,4,PMT9312_0550,Prochlorococcus MIT9312,rbcL,"ribulose bisphosphate carboxylase, large subunit",Photosynthesis,informative_multi,4,1.0,4,20.0,2,cyanorak,curated,0.76,0.3464747672315942,0.15,0.2633208230960116,WP_002805854.1,cyanorak:CK_00000681
pro,5,PMT9312_0549,Prochlorococcus MIT9312,csoS1A,carboxysome shell protein CsoS1A,Photosynthesis,informative_multi,3,1.0,3,20.0,2,cyanorak,curated,0.72,0.3464747672315942,0.15,0.24946183240674782,WP_002807869.1,cyanorak:CK_00008056
pro,6,PMT1742,Prochlorococcus MIT9313,rplN,50S ribosomal protein L14,Translation,informative_multi,2,1.0,1,20.0,2,cyanorak,curated,0.6799999999999999,0.3464747672315942,0.15,0.23560284171748405,WP_011131109.1,cyanorak:CK_00000525
pro,7,Pro0418,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),mqoA,malate:quinone oxidoreductase,Carbohydrate metabolism,informative_multi,2,1.0,1,20.0,2,cyanorak,curated,0.6799999999999999,0.3464747672315942,0.15,0.23560284171748405,WP_011124573.1,cyanorak:CK_00001234
pro,8,NATL1_02111,Prochlorococcus NATL1A,tsaB,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,Translation,informative_multi,1,1.0,1,20.0,2,cyanorak,curated,0.64,0.3464747672315942,0.15,0.2217438510282203,WP_011822999.1,cyanorak:CK_00000224
syn,1,SYNPCC7002_C0017,Synechococcus PCC 7002,resP,recombinase family protein,Replication and repair,informative_multi,2,3.0,1,73.0,8,eggnog,Bacteria,0.56,0.7771798790614344,0.15,0.4352207322744033,WP_012308477.1,eggnog:COG1961@2
syn,2,SynWH7803_2236,Synechococcus WH7803,,outer membrane porin,Stress response and adaptation,informative_multi,1,1.0,2,79.0,2,cyanorak,curated,0.64,0.4498735380766354,0.15,0.28791906436904663,WP_011934124.1,cyanorak:CK_00002330
